Sample	Control-Sample 1	Control-Sample 2	Control-Sample 3	Control-Sample 4	Control-Sample 5	Control-Sample 6	Control-Sample 7	Control-Sample 8	Control-Sample 9	Control-Sample 10	Control-Sample 11
FBXL13	5.197130178	5.294852297	5.184335843	5.778584448	5.644767685	5.075040525	5.194433812	5.217665011	5.339041155	5.429984122	5.538131495
FBXL14	8.225568969	8.165273837	8.131291087	8.688694416	8.642228633	8.189523142	7.801197466	7.920829209	8.63244636	8.701885157	8.421479999
FBXL15	6.823278064	6.7842684	6.757823336	7.065184531	7.051578746	6.653131691	6.469928293	6.491093077	6.972876425	7.128334649	7.112105837
FBXL16	7.336604745	7.30229163	7.214591118	7.642932569	7.892591386	7.315068026	6.951004892	7.287518468	8.108534911	8.458972506	8.188564121
FBXL17	8.048361535	7.947034898	7.998720168	7.686479517	7.768991479	8.242612032	8.257642413	8.195888901	8.197541079	8.185375985	8.274988418
FBXL18	7.464872438	7.397067054	7.442935204	7.818901676	7.882759194	7.49684579	7.385137636	7.416603326	7.983780285	8.157685462	7.907281273
FBXL19	7.708766626	7.738774591	7.750613204	8.115829178	8.236813075	7.915496999	7.57655237	7.818959178	8.294202582	8.41204475	8.436141013
FBXL19-AS1	5.26852048	5.220670465	5.389969416	5.277166492	5.889427302	5.364652969	5.550562109	5.323611459	5.640250721	5.645975394	5.717988916
FBXL2	5.602557836	5.766698511	5.879808672	7.076527029	6.811548096	5.993921129	5.723443884	5.925130693	6.864879462	6.618817145	6.741345633
FBXL20	8.80891914	8.844125118	8.730235755	7.28516175	7.325116532	8.779210465	9.04640102	8.673171249	7.395936791	7.368829449	7.489872039
FBXL21	4.64440431	4.782633968	4.709593923	5.749126609	6.025412015	4.967662028	4.925709901	4.768962376	5.590395426	5.445839244	5.934301827
FBXL22	6.412432663	6.417833954	6.642353562	6.605018671	6.841117711	6.338408369	6.512693063	6.597510317	6.766727659	6.600397625	6.666074843
FBXL3	9.805876046	9.619156202	9.883581107	7.433977617	6.921829039	9.635680035	9.903943588	9.59555774	7.14654322	7.350567966	6.94699982
FBXL4	7.740219257	7.905013872	7.846048203	6.683247296	6.354681354	8.39794411	8.737189871	8.453241821	6.30245432	6.491231	6.666387351
FBXL5	11.58007009	11.41466938	11.40271898	7.607722378	7.738011169	10.55265949	11.01137403	10.93251005	7.845107372	7.367205048	7.483356298
FBXL7	6.535751271	6.579634238	6.599277619	7.573313928	7.62293767	6.631251281	6.431179988	6.565230058	7.428703531	7.68646551	7.700446654
FBXL8	7.803369129	7.764460281	8.019707474	8.301761389	8.743996226	8.050322111	7.718484928	8.066977144	8.505374909	8.570686817	8.596290406
FBXO11	9.541931007	9.412159102	9.426912564	7.413314818	7.419631585	9.786264726	10.20784406	9.86300612	7.436120187	7.219052326	7.543070498
FBXO15	5.173411306	5.237391631	5.258545306	6.045008227	6.1515727	5.168092417	5.368241034	5.266411766	5.921957538	5.81046624	6.059173545
FBXO16	5.013877589	4.967648196	4.905625278	5.275152353	5.191515276	4.961572398	4.833659246	4.915578263	5.43506514	5.341085561	5.384875251
FBXO17	7.450580534	7.526791538	7.435758885	8.552875298	8.629842328	7.593161888	7.405771444	7.500464675	8.485355317	8.938170608	8.836182883
FBXO18	8.336966185	8.21855355	7.893926412	6.002468502	5.793344495	7.134364709	6.947233657	6.958065452	6.352813246	6.314665714	6.050118553
FBXO2	8.238094192	8.190975291	8.127091548	8.743551994	8.705604743	8.347408769	7.810899337	8.302945021	8.949199316	8.980239563	8.952930488
FBXO21	8.573041204	8.559174391	8.587087407	7.390616101	7.423166346	8.316367525	8.34262141	8.285822944	7.445428759	7.356768866	7.25143507
FBXO22	8.034314774	8.074869318	7.916381099	8.178316272	7.923226449	7.742605861	8.025892558	7.68603823	7.518975685	7.651912745	7.850049283
FBXO24	6.003685432	6.097657144	6.020768865	6.839317183	6.59726001	6.25484155	6.165124069	6.308977861	6.803976093	6.851474216	6.665776476
FBXO25	9.2536683	9.299104991	9.178829673	7.128256639	6.703774496	9.079258934	9.185090644	8.871952535	7.014308347	7.115794249	7.204765039
FBXO27	6.528866641	6.590148374	6.556006294	7.561410154	7.373509016	6.612253701	6.506996974	6.590660399	7.168270966	7.373509016	7.554535133
FBXO28	8.170065257	8.090953967	8.060960672	7.041965726	6.505903629	8.052225676	8.517645769	8.312079722	7.035865805	7.057905104	7.101072227
FBXO3	8.948460682	8.820734229	9.044522535	7.106882195	7.178575224	8.565764709	8.977872337	8.703779019	6.678452253	6.729892604	6.835785153
FBXO30	8.272097861	8.299153058	8.154762425	7.83882574	7.544493114	8.615081511	9.49897682	8.467821531	7.391028727	8.049853994	7.826732785
FBXO31	7.676930259	7.588302378	7.637928981	7.241525608	7.721106026	7.821212736	7.750298318	7.59324171	7.63197732	7.474646948	7.302565816
FBXO32	7.736449287	7.699086557	7.569559446	6.24048416	6.509759172	8.519066138	8.351173352	8.596316499	6.599869709	6.443479018	6.469759019
FBXO33	8.405247853	8.517448932	8.348506865	6.130683812	6.101149987	7.516204299	7.868075555	7.690717393	6.360538106	6.153580404	6.306517445
FBXO34	8.432763194	8.168606938	8.069165094	7.57038703	7.487783772	9.286562382	9.468025256	9.093140223	7.849761625	7.506739978	7.697169142
FBXO36	6.584791171	6.573471479	6.59614353	6.86811878	7.004186752	6.359540497	6.444677005	6.508941998	6.794233893	6.765693858	6.700425846
FBXO38	8.463986125	8.583176812	8.413830992	7.142076416	7.069476621	9.043858474	9.365657547	9.079919394	7.315928453	7.150234709	7.220407351
FBXO39	6.623299175	6.579083579	6.50338213	7.765654082	7.762408617	6.859273866	6.580336967	6.941305889	7.535625314	7.82107877	7.425560011
FBXO4	7.13245346	6.949955074	7.029463929	6.896090168	6.556440145	6.554964824	7.025792919	6.884781054	6.623101602	6.812536731	6.860280012
FBXO40	5.591431088	5.488212916	5.458316378	6.509689509	6.411899044	5.713396139	5.466411776	5.485742382	6.479762483	6.740037066	6.773732651
FBXO41	7.401681659	7.42272077	7.272685766	7.067251491	7.329572126	7.089847681	7.051219819	7.123893772	7.598700171	7.313817229	7.381058367
FBXO42	8.412696858	8.345387504	8.274555203	7.269799936	7.248231207	7.931080233	8.054219005	7.735907982	7.364239734	7.349241415	7.042469242
FBXO43	5.202934836	5.236974712	5.410812563	6.295998462	6.350152444	5.241878309	5.253270764	5.236905851	6.088993831	5.997398551	6.495719143
FBXO44	7.740178772	7.722090274	7.667870842	7.79836163	7.819508528	7.695645899	7.182304958	7.598677843	8.039204209	8.236042902	7.771278167
FBXO45	6.856027059	6.91320059	6.701188615	7.004467684	6.7202511	6.53035015	7.048508671	6.775313975	6.801106909	6.609214205	6.944600799
FBXO46	8.045131673	8.075077974	8.261770555	8.087165785	8.639720553	8.240881945	7.760799772	8.108743981	8.518137745	8.438858373	8.407926282
FBXO47	4.599585596	4.599198755	4.665080047	5.521678952	4.907938573	4.620152364	4.50920177	4.58236331	5.31085995	5.33778244	5.399048015
FBXO48	5.162471896	5.233186324	5.158248149	5.325785749	5.62481446	5.051385154	5.157646055	4.757316664	5.119090524	5.204876279	5.122229573
FBXO5	7.365648799	7.01563806	7.089646447	7.035315985	6.982046674	7.023721092	7.153014879	6.838145003	6.758942717	6.943264981	7.020579983
FBXO6	7.956347114	8.150864268	7.893398617	7.522299045	7.637175494	7.62982287	7.63808108	7.55075448	7.822213897	7.903580625	7.607714981
FBXO7	10.38553889	10.27561239	10.18644856	7.182543333	6.834496332	9.627539356	9.802464666	9.757586689	7.30241959	6.937108946	6.944916996
FBXO8	7.696515527	7.722192761	7.96010622	7.441325776	7.384032533	8.239078158	8.427413421	8.151173869	7.471480133	7.204629829	7.521035028
FBXO9	7.381598301	7.224895698	7.295875461	7.317059707	7.434672266	7.768101304	7.806234305	7.74157429	7.289538418	7.315214725	7.343599299
FBXW10	5.61627229	5.4727955	5.557869658	6.280389917	6.777660139	5.589012173	5.44566219	5.642470057	6.356444232	6.217550743	6.570522611
FBXW11	8.514816607	8.445118335	8.50022843	7.464268007	7.827869823	8.265516598	8.295204141	8.46068933	7.643524332	7.512922146	7.688152377
FBXW12	4.96988724	4.955698723	4.882990232	5.897649454	5.876946622	5.156736377	5.007303161	4.957844969	5.681938327	5.793040101	5.834106933
FBXW2	9.56570379	9.295041091	9.431589533	7.820676798	7.823997684	9.60635524	9.809989941	9.516162924	7.713661451	7.836113491	8.181992031
FBXW4	8.955676059	8.872930311	9.068531091	8.238380853	8.084170592	8.888119164	8.594705291	8.66517245	8.714520291	8.334367152	7.909287085
FBXW4P1	8.836460691	8.463336361	8.652583293	8.889172341	9.02466874	9.079180746	8.467874502	8.786648633	8.961099469	8.91679011	9.02699366
FBXW5	9.654002249	9.891514881	9.751378357	9.025493962	9.378821544	9.370787651	9.176021016	9.323415108	9.623459042	9.315944298	9.280230238
FBXW7	8.447711427	8.168341175	8.187154091	7.08676254	6.648983064	8.669108283	8.860525232	8.672071697	6.965484173	6.803420795	6.806530289
FBXW8	7.960198913	8.129468494	8.083356992	7.58658462	7.440487166	7.853078706	7.703329149	7.955696398	7.559881802	7.628183042	7.589149252
FBXW9	7.510059953	7.39923092	7.463205556	8.306804498	8.188949783	7.500594938	7.150904875	7.444990007	8.298268816	8.406256036	8.098969004
FCAMR	5.982133404	5.86246627	6.073974432	7.312737771	7.481468482	6.154575108	5.929109248	5.994231227	6.528147762	7.313055343	7.21920725
FCAR	8.370412789	8.185995352	8.170195481	7.994998262	8.389833507	8.810571635	9.240493224	9.230037253	8.73820713	8.213541702	7.943786566
FCER1A	9.159687205	8.454299294	8.925325964	6.986126464	7.101765618	7.987883598	8.745449122	8.081051963	6.634356575	6.869044728	6.981829826
FCER1G	10.85918533	11.02167404	10.83267644	7.373578615	8.099821179	10.97872476	11.16498861	11.25495183	8.663234306	7.957154291	6.864458559
FCER2	8.58128345	8.685663381	8.430837219	7.072620344	7.040454121	7.091964233	6.661806595	7.142035559	7.08146746	7.073391816	7.284708449
FCF1	8.065534615	8.005882752	7.888913684	6.442064345	6.773099635	7.709290636	8.016780436	7.737876008	6.594494806	6.146042158	6.687172694
FCGBP	6.758183232	7.155455791	7.119947494	7.992740111	7.493495231	6.950503408	6.664866787	7.112105837	7.602260887	7.511167552	7.56743897
FCGR1A	7.817436118	7.707602877	7.802025531	7.041652932	7.356721855	7.98614566	8.09757557	8.058991161	7.428277622	7.15612471	7.428467951
FCGR1B	6.270601823	6.473540165	6.903809559	7.386043535	7.285772093	6.393654731	6.4480089	6.695590225	7.694685221	7.3458044	7.664269492
FCGR2A	9.970249721	9.726783544	9.901572892	7.068294612	7.031384168	9.14689956	9.797713397	9.773592554	7.743427449	6.335604733	6.260784076
FCGR2B	9.268572395	9.420956877	9.664543566	8.085459193	7.950100745	9.138293969	9.551832407	9.593153513	8.358951624	7.977090304	8.026348795
FCGR3A	10.33147216	10.65951539	9.949527458	7.862934734	7.645756129	10.02854721	9.975999877	9.844032279	7.769048101	7.721335696	7.838291591
FCGRT	9.874180653	9.775129577	9.834456828	8.3543111	8.905868325	8.950984487	9.150823659	9.362583855	8.959413726	8.839055731	8.923140265
FCHO1	8.189967833	8.314465422	8.213527121	7.796273277	7.889729058	7.903719195	7.942385478	8.049521865	7.949032937	8.147968054	8.399658178
FCHO2	7.460898159	7.313617726	7.360645202	6.664525506	6.445130754	6.525528639	7.281355152	6.955498802	6.252865977	6.390163796	6.310171045
FCHSD1	8.151985623	8.061182151	8.01110423	7.45043597	7.687725597	8.686209858	7.830540559	8.070469833	8.041631776	7.692734051	7.851130611
FCHSD2	9.996529981	10.01607004	9.884617762	7.028845377	7.16343835	9.102500669	9.240311944	9.058127054	7.212734687	7.058381441	6.668260981
FCN1	11.64714359	11.30458519	11.35118219	10.34692366	10.37277802	10.53075746	10.9525447	11.00619983	10.55957785	10.24179253	9.892239219
FCN2	8.100977648	7.999515263	8.178973522	8.887446067	9.034658675	8.124834727	7.72140684	8.220039684	8.849967994	8.934876187	8.688141884
FCN3	6.927256483	6.853297078	7.10665192	8.058922543	8.113075351	7.370652538	7.118629666	7.213045879	8.106453017	8.274848685	8.313468081
FCRL1	8.958384512	9.343623233	9.006255941	8.432040733	8.406022132	8.878222615	8.510253844	8.397028537	8.359670506	8.432871741	8.321716183
FCRL2	6.8275269	7.077702315	6.883413096	6.953183742	6.806904009	6.957752124	6.619754862	6.815805955	6.946157691	7.222437505	6.856176498
FCRL3	8.971885507	8.976764583	8.626526747	7.309640055	7.246246554	8.418261642	8.356033737	8.539418628	7.321855958	7.256671032	6.860267595
FCRL4	5.345981766	5.319896071	5.551802067	6.143601579	6.161970292	5.428189301	5.168950853	5.306047103	6.01983088	6.316160227	6.338062448
FCRL5	6.689033524	6.89133412	6.904243227	6.550183447	6.825645726	6.233732787	6.032345534	6.076612537	6.495249048	6.540357456	6.60203368
FCRL6	10.68664934	10.54247088	9.786890359	8.497085389	8.538526524	9.985329647	9.217075579	9.358389668	8.428665849	8.642398331	8.696299908
FCRLA	7.235200503	7.645960988	7.370757143	7.043300754	7.094816663	6.799100261	6.287852718	6.358760196	6.92078158	7.10636926	7.354628467
FCRLB	6.597161663	6.69238535	6.540062927	6.907755953	7.090525315	6.62626536	6.167412124	6.541242233	7.141340821	7.402253184	7.416907282
FDCSP	5.094016439	4.954252156	5.264525172	6.228795607	6.057437275	5.221123064	5.027848509	4.988239314	5.43325326	5.842229642	6.039048442
FDFT1	9.750539513	9.975088455	9.772075342	7.251311976	7.38043509	9.589237284	9.971399852	9.590749835	7.577746035	7.11757038	7.44625623
FDPS	6.905916448	6.914241603	7.021046587	6.622371081	6.854656482	7.300187802	7.454735224	7.330316377	6.759555343	6.849986753	6.546082619
FDPSP2	6.942465627	6.867200883	6.913622872	8.082301899	8.10388145	7.102913208	7.190865631	7.144991921	8.085038773	7.88900833	8.17367695
FDX1	8.604679239	8.486227655	8.447397361	8.374687406	8.406183742	8.511108238	8.541247655	8.475352444	8.488631491	8.49402352	8.653762271
FDX1L	7.094426108	7.22979939	7.130467601	8.199868617	8.17788292	7.289723825	7.310667308	7.402261712	7.856132914	8.074393043	7.977268473
FDX1P1	7.127468202	6.755688777	6.785341299	6.531197408	6.508517392	6.9721412	7.568100528	7.028558102	6.134407837	6.303088454	6.028012122
FDXACB1	5.769562829	5.940070411	5.746946897	6.079096457	6.342394737	6.265948785	6.238804053	6.060713222	6.21400626	6.127142119	6.450138997
FDXR	7.625350864	7.707172743	7.656667974	8.598603411	8.693107067	7.75646292	7.559017567	7.702144974	8.614382256	8.803039712	8.575164816
FECH	7.449074342	7.46991039	7.39890612	7.40507337	7.285106251	7.209053645	7.674559517	7.439880739	7.260355044	7.27795686	7.27518402
FEM1A	7.675081979	7.745855805	7.818594959	7.669395332	7.664888115	8.016111838	7.832434354	7.761458152	7.535057595	7.536449276	7.863362397
FEM1B	9.675473702	9.725592913	9.654777427	8.316806464	8.34071358	9.037851659	9.299620158	9.015066533	8.925245841	8.704232208	8.781169528
FEM1C	9.202008698	9.124488403	8.999461707	7.23253605	6.949441552	8.908533731	9.118567377	8.871766658	6.791306174	6.876627447	7.594093157
FEN1	7.680078166	7.479376091	7.571479624	8.536227785	8.170631148	7.919012268	7.574797855	7.606249738	8.49091905	8.136698956	8.612547863
FER	6.861024853	6.814781113	6.621930247	6.396416405	6.413898673	6.805137652	7.545265687	6.988639247	6.473855084	6.387012648	6.446074227
FER1L4	6.679135315	6.677665501	6.774532494	7.546371146	7.778852023	6.806619111	6.57318152	6.61503767	7.382510226	7.725137434	7.564925262
FER1L5	6.582191805	6.65638245	6.735908791	7.803170397	7.736385392	6.792033445	6.576628024	6.64104239	7.747185304	7.555118972	7.736246673
FER1L6	5.585752761	5.572398584	5.739672615	6.998601712	6.87787919	5.730088312	5.589323062	5.764335538	6.707925055	6.682826084	7.015805294
FER1L6-AS1	5.535661081	5.467543603	5.443590076	6.446641669	6.411187246	5.637714567	5.553597042	5.306149206	6.717991657	6.399169384	6.501060109
FER1L6-AS2	6.119179772	6.06385667	6.141160952	7.154443466	7.337470266	6.06633249	6.1300907	6.051071872	6.908488697	7.36560506	7.423174752
FERD3L	6.816970828	7.11844279	7.112022407	7.6262639	7.781989116	7.207248648	6.775774869	6.960071458	7.742807935	8.183268148	7.784975033
FERMT1	4.972674276	4.928948233	5.021599651	6.179463278	5.822865235	5.234934279	5.278389984	5.057263966	5.817600236	6.236167306	5.630833533
FERMT2	5.325274869	5.240012782	5.317119522	6.021708462	6.010882757	5.369410645	5.29245048	5.194555946	6.098592203	6.151816207	6.076268338
FERMT3	10.02986695	10.25272456	9.964489606	8.860925563	9.114429496	9.806088788	9.701831455	10.15314665	9.4070829	9.296707471	8.658486426
FES	8.544991471	8.078556467	8.270538286	7.875393049	7.938374017	7.617577661	7.815876386	7.750164304	8.057363621	8.077873186	7.642701572
FETUB	5.737408253	5.761652284	5.614801114	6.688809791	6.88359638	6.009391965	5.756284103	5.771288733	6.682769913	6.910660717	7.073938026
FEV	7.35844022	7.431514319	7.325557314	7.54382837	7.840532471	7.56684559	7.397366597	7.401971715	7.847771468	8.016791577	7.864495703
FEZ1	6.156333914	6.114323294	6.112043265	6.467178384	6.714849949	6.01493993	5.803345878	6.052633256	6.343848381	6.561229892	6.486685416
FEZ2	7.219942914	7.012099319	7.04220656	6.233786464	5.96189647	7.104986565	7.536822236	7.288580044	6.671746267	6.181808217	6.176699755
FEZF1	6.577028443	6.486725634	6.58978895	7.021546353	7.030148445	6.55711749	6.315582532	6.505157331	6.958993431	7.102679125	7.115501493
FEZF2	6.905459213	6.789207575	6.814896444	7.293949786	7.336586893	6.739591613	6.782225071	6.933029637	7.417447491	7.43084558	7.442827412
FFAR1	7.731705961	7.8190039	7.564271456	9.073185595	9.030247783	7.71604433	7.24478243	7.387629644	9.0068506	9.09622495	8.907930164
FFAR2	6.826675591	7.437718787	6.68275587	6.704719832	6.996445242	7.953142991	6.711302167	6.995416679	7.055748795	6.617057465	6.676295621
FFAR3	6.330542082	6.344843149	6.326431209	7.828218558	7.356313294	6.499028124	6.104482989	6.417696083	7.313036247	7.487153317	7.54434556
FFAR4	6.200563204	6.45978733	6.515944209	7.028403392	7.28845085	6.144244237	6.002229945	6.306065336	7.031637801	7.166333835	7.090133597
FGA	5.588099954	5.690140487	5.541254625	6.973634234	6.647156184	5.655234462	5.886523322	5.684072516	6.465558242	6.625609495	6.9360254
FGB	6.439096158	6.383631724	6.589429436	7.8723917	7.997281115	6.631315315	6.612953988	6.504698245	7.667608326	7.436953012	7.7465815
FGD1	6.347727657	6.528890077	6.40061136	7.13419013	7.622190956	6.774431283	6.143224011	6.525317212	7.332618434	7.711109402	7.484113957
FGD2	9.292452781	9.404549794	9.230272675	7.817386626	7.818256216	8.232157069	8.412392013	8.333902227	8.062904212	8.006662691	8.016802717
FGD3	9.808935224	9.827390343	9.830515207	9.353942956	9.145226543	9.839197488	9.612746886	9.987789825	9.243085895	9.259284258	9.259602047
FGD4	7.28220811	6.950818314	6.9690814	6.245003094	6.349589973	7.524220427	8.465803093	8.260613796	6.314107365	6.190253351	6.207475128
FGD5	5.803622277	5.902840561	5.892386168	6.770062576	7.018445013	6.044647662	5.914215288	5.8275269	6.718471228	7.140553728	6.960650709
FGD6	6.944026783	6.914923239	6.55170211	6.400204883	6.274034242	6.453542271	7.725093543	6.969921766	6.282102445	6.031602516	6.293977366
FGF1	5.416420921	5.554300284	5.628627802	5.727438568	5.999497223	5.553102417	5.557566324	5.61025417	6.279722	6.077911629	5.844521238
FGF10	5.390210237	5.437826962	5.337275792	6.800783444	6.700481334	5.637627634	5.461364846	5.360620624	6.626388028	6.831547937	6.728587207
FGF11	6.823991317	6.709676626	6.784150595	6.878247143	7.167076877	6.72994697	6.335288514	6.619207567	7.292662133	7.281364426	7.336292315
FGF12	6.071556751	6.004530605	5.930342316	6.934823124	7.170075274	5.952498982	5.86056558	6.033737937	6.677057153	7.148781613	7.036250554
FGF13	6.257155861	6.248825122	6.311136146	6.850311876	7.020868851	6.605030527	6.146439356	6.251717199	7.233552573	7.210125817	7.020913287
FGF14	5.257082298	5.112437422	5.219973881	6.10850773	5.83404118	5.173719105	5.288070585	5.270024285	5.923964448	5.882848435	6.308542904
FGF16	5.109139039	5.182489702	5.04162411	6.49217366	6.302156346	5.148978832	5.39694722	4.936633228	5.972628329	6.363416413	5.829555309
FGF17	7.128819219	7.150549522	7.150326113	7.932533675	7.715762984	7.16637401	6.874034605	7.213531982	7.829316821	8.200388607	7.983922759
FGF18	6.955708021	7.000112706	7.035128998	7.522126388	7.329886013	7.118671191	6.942936696	7.006354133	7.652837804	7.810905761	7.766422897
FGF19	6.239844805	6.407697747	6.354884072	6.833661776	6.760753208	6.475401087	6.247430078	6.342451631	6.961171837	7.266102504	7.12987028
FGF2	6.482283612	6.568620437	6.642864718	7.370425867	7.643545977	6.306544786	6.211878563	6.458606752	7.180585506	7.188470162	7.135606691
FGF20	7.480984028	7.500021232	7.486352367	8.307073272	8.610829227	7.360434513	7.163820726	7.352652607	8.485925888	8.595831834	8.388917074
FGF21	6.414845879	6.432244562	6.390266996	6.941141533	7.053991025	6.497345707	6.29210993	6.564530601	7.010365855	7.316706923	6.961727499
FGF22	7.759641889	7.723729196	7.808938441	8.543055027	8.839228988	7.896332404	7.824710582	7.919483105	8.438089043	8.541243782	8.633467539
FGF23	6.701410436	6.641852338	6.767681279	7.920525552	8.075233108	6.690500906	6.533096079	6.838750118	7.92025161	7.983632097	8.153288548
FGF3	6.477929842	6.664326388	6.776867256	7.505112858	7.711935357	6.959932403	6.589089313	6.528419728	7.662369303	7.649363971	7.763763441
FGF4	6.631370999	6.839593585	6.66671203	7.725616079	7.623199341	6.895393826	6.734918546	6.867414778	7.572418813	7.758689205	7.950135388
FGF5	6.163838837	6.563324421	6.548038904	7.167538574	7.614069322	6.517620576	6.509670509	6.037182322	7.179321943	6.945654519	7.38653507
FGF6	6.835406207	6.843569361	6.762362105	7.790973991	7.727818373	6.931399406	6.680127408	7.051502617	7.588946947	7.642080583	7.69131082
FGF7	6.183296095	6.37820758	6.516710733	8.961831164	8.614904227	6.428476798	6.373804908	6.458815823	8.372726716	8.075191921	8.70683382
FGF7P2	6.335963746	6.504089612	6.641946241	9.555706891	9.187881542	6.462624963	6.525600674	6.764765458	8.891531589	8.657000396	9.317376433
FGF8	6.85623876	6.927600206	6.943874455	7.289336517	7.450246245	6.93228563	6.613052738	6.759648546	7.408525059	7.904056525	7.3775229
FGF9	5.439184279	5.653553064	5.643628226	6.503453689	6.119235809	5.851863953	5.851036886	5.765852953	5.997723706	5.994830862	5.957659273
FGFBP1	6.567151439	6.481129381	6.581786581	8.2465316	7.995948006	6.87779332	6.464503275	6.757983301	7.885061814	8.184037246	7.887555733
FGFBP2	10.76509544	10.66587771	10.27547272	7.959068803	7.816183681	10.24538632	8.845496324	9.240118713	7.709635275	7.674524209	7.913996374
FGFBP3	7.178913785	7.316670724	7.20059459	7.425786573	7.156072961	7.063341148	7.071827013	7.204355947	7.737876008	7.841746737	7.456411916
FGFR1	7.110081309	7.391192025	7.019079162	7.92480063	7.986865972	7.225303854	7.146421026	7.414473836	8.132186094	8.036431901	8.192633102
FGFR1OP	7.009753978	7.036077987	7.029720771	7.278874148	7.211428327	7.156791962	6.963037984	7.023981739	7.151514381	7.246740822	7.412648664
FGFR1OP2	8.339382387	8.307842876	8.202030744	6.740873607	6.823278064	8.11802223	8.815466557	8.594544817	7.100294392	6.553951777	6.681856828
FGFR2	5.844400719	5.878276575	5.73087631	7.096746775	7.164072234	6.089928166	6.015988114	5.977273054	6.883290894	7.030071177	7.38341054
FGFR3	6.722493348	6.820459814	6.529486777	7.053763009	7.247899039	6.900347586	6.415136681	6.548683218	7.173627172	7.556827895	7.42631508
FGFR4	6.278583267	6.383999712	6.267663133	7.298612498	7.157963297	6.664966312	6.24391847	6.337357867	7.309485449	7.3057061	7.334702342
FGFRL1	8.220997357	8.22653743	8.343518863	8.429013321	8.762601292	8.328836464	8.139147137	8.32152679	8.624265426	8.855388657	8.267615384
FGG	4.630655918	4.721766366	4.686489322	5.098756408	5.251317657	4.567283802	4.657279858	4.578183968	5.183796141	4.840664643	5.164609309
FGGY	6.503560226	6.483567516	6.452651439	7.073938026	6.730830129	6.324904188	6.318275259	6.422910787	6.808590988	6.845828731	6.800006835
FGL1	4.468511637	4.751442297	4.591086948	5.550192684	5.472413035	4.522036912	4.618661534	4.717341926	5.274675398	5.482251338	5.214618315
FGL2	11.63478383	11.76047047	11.60624789	8.194244681	8.28384771	11.24066017	11.79116289	11.41130972	9.363633237	8.616295201	8.223118417
FGR	11.31501367	11.33565832	11.2012479	9.575601643	9.587205575	10.11674682	10.50332886	10.67405982	10.12272448	9.587455007	9.383352215
FH	6.847884192	6.784582502	7.037678726	6.6662169	6.54707035	6.697120479	7.114179596	6.843883374	6.64037076	6.607439806	6.598298203
FHAD1	5.93357972	5.966633494	5.922659323	6.827018717	6.500167867	5.908435856	5.866950003	5.871060005	6.675279619	6.738686784	6.664084565
FHDC1	5.867382536	6.018057711	6.018493975	6.863628773	6.831155206	5.954573223	5.762306289	6.012613366	6.628321589	6.819949134	6.575717729
FHIT	7.197010228	6.886928086	8.296572121	6.609087112	6.74824653	7.705141615	7.231288393	7.211966144	6.630268581	6.697607037	6.742882021
FHL1	8.124767536	7.525215403	7.46154493	6.835229332	6.734723167	7.041308701	7.085945092	7.398110905	6.815869983	6.64973041	6.484115569
FHL2	7.064505664	6.973404637	7.070872292	8.204199419	8.216697363	7.165319066	6.960951828	7.041867191	8.068660063	8.25500968	8.317873841
FHL3	8.506807404	8.756212703	8.445958395	7.578621768	7.715131473	8.049331264	8.041078672	8.183039821	7.766972746	7.830407456	7.650692767
FHL5	5.024173381	4.841631017	5.032806145	6.227144193	5.725831118	4.986451894	4.977032583	4.897448585	5.723700531	5.714022913	5.840805613
FHOD1	8.072052192	7.802910508	7.823335392	7.080391184	7.173317355	7.29022164	6.999560362	7.351619496	6.940131505	7.090250065	7.385948658
FHOD3	5.818950233	5.848680522	5.881750258	6.830306037	6.958390312	5.954536002	5.867224367	5.909417906	6.787680589	6.874501906	6.783705464
FIBCD1	7.187995327	7.311430456	7.374952519	8.09386648	8.543662136	7.520500825	7.179948888	7.272918995	8.301102887	8.513680229	8.407174273
FIBIN	5.142241873	5.359380605	5.478890934	6.697746024	6.443716043	5.267382232	5.329998996	5.252116631	6.461780642	6.46132064	6.71929298
FIBP	9.073624784	8.978576049	9.135724675	7.864860896	8.021357573	8.848719951	8.650825579	8.778632411	8.184791059	8.132489448	7.616166525
FICD	7.178087159	6.992757103	7.01550426	7.205196991	7.139479727	6.850536918	6.679142258	6.926402747	7.202584237	7.063567655	7.237850485
FIG4	8.093090032	8.068756785	7.912877364	6.262109883	6.1017131	6.671010241	7.333217978	7.004872131	5.914586049	5.765062611	5.910859755
FIGF	5.055729276	5.125200602	4.924765007	6.095829503	5.958803244	5.311800982	5.306152852	5.153310845	5.934124873	5.891523691	5.589511832
FIGLA	6.282374934	6.293550736	6.317517533	6.680830674	6.940918448	6.403341014	6.311274225	6.265881293	6.718279419	6.734194764	6.952252016
FIGN	5.346531462	5.36023433	5.689195708	6.605423217	6.369817169	5.471645954	5.371381128	5.514939661	6.286393269	6.73508887	6.728015724
FIGNL1	5.856741735	6.21178903	6.257467047	6.044608322	6.186520366	5.895082031	6.077578421	5.742776952	6.042924445	6.214468726	6.576792693
FIGNL2	6.516938605	5.956374996	6.425860408	7.069014678	7.193476079	6.559583585	6.461369757	6.588777588	7.534022683	7.333074826	7.086348566
FILIP1	5.126667308	5.275621701	5.229137972	6.551691345	6.540473701	5.169508163	5.071011785	5.371868974	6.027370829	6.360608334	6.890154817
